"TransactionID","Timestamp","Category","AnomalyScore","CustomerID","Name","Age","Address","AccountBalance","LastLogin","MerchantID","MerchantName","Location","SuspiciousFlag","FraudIndicator","TransactionAmount","Amount"
"1","1/1/2022 0:00","Other","0.6866994638181","1001","Customer 1001","54","Address 1001","9507.2720595564","1/1/2022","2001","Merchant 2001","Location 2001","0","0","79.413607463774","55.530334429869"
"2","1/1/2022 1:00","Online","0.081748870801146","1002","Customer 1002","35","Address 1002","7408.7045355572","1/2/2022","2002","Merchant 2002","Location 2002","0","0","12.053087153568","12.881180192784"
"3","1/1/2022 2:00","Travel","0.023856830105309","1003","Customer 1003","40","Address 1003","1715.3219889184","1/3/2022","2003","Merchant 2003","Location 2003","0","0","33.310357191057","50.176321517066"
"4","1/1/2022 3:00","Travel","0.87699434773592","1004","Customer 1004","30","Address 1004","3101.5091338402","1/4/2022","2004","Merchant 2004","Location 2004","0","0","46.121117289631","41.63400105303"
"5","1/1/2022 4:00","Other","0.034058772673111","1005","Customer 1005","46","Address 1005","5405.7669136967","1/5/2022","2005","Merchant 2005","Location 2005","0","0","54.051618013405","78.122853265746"
"6","1/1/2022 5:00","Food","0.12117289920138","1006","Customer 1006","59","Address 1006","9347.9671620337","1/6/2022","2006","Merchant 2006","Location 2006","0","0","34.545138072477","86.947084133768"
"7","1/1/2022 6:00","Food","0.10989167565471","1007","Customer 1007","33","Address 1007","2957.7600542969","1/7/2022","2007","Merchant 2007","Location 2007","0","0","55.383112817522","51.147096478181"
"8","1/1/2022 7:00","Travel","0.78053420724869","1008","Customer 1008","21","Address 1008","8303.773585052","1/8/2022","2008","Merchant 2008","Location 2008","0","0","17.855877857197","56.163984308348"
"9","1/1/2022 8:00","Retail","0.010470905371615","1009","Customer 1009","32","Address 1009","5359.7478101909","1/9/2022","2009","Merchant 2009","Location 2009","0","1","75.659944498294","37.1824117231"
"10","1/1/2022 9:00","Other","0.029376269937588","1010","Customer 1010","26","Address 1010","9506.8826886275","1/10/2022","2010","Merchant 2010","Location 2010","0","0","67.931878840123","17.245409041787"
"11","1/1/2022 10:00","Other","0.083455395478812","1011","Customer 1011","57","Address 1011","1895.7059030144","1/11/2022","2011","Merchant 2011","Location 2011","0","0","23.895622711901","86.180947908383"
"12","1/1/2022 11:00","Food","0.45173494506355","1012","Customer 1012","45","Address 1012","2706.1488875617","1/12/2022","2012","Merchant 2012","Location 2012","0","0","17.797222024189","95.554008919935"
"13","1/1/2022 12:00","Other","0.44480312016511","1013","Customer 1013","21","Address 1013","8646.5072499327","1/13/2022","2013","Merchant 2013","Location 2013","0","0","64.781657881869","47.138514411574"
"14","1/1/2022 13:00","Travel","0.99733963290122","1014","Customer 1014","27","Address 1014","9922.2919730478","1/14/2022","2014","Merchant 2014","Location 2014","0","0","43.691459478353","98.804250081172"
"15","1/1/2022 14:00","Other","0.82792640024237","1015","Customer 1015","59","Address 1015","3146.2481883177","1/15/2022","2015","Merchant 2015","Location 2015","0","0","35.45084414312","99.83263446243"
"16","1/1/2022 15:00","Other","0.45594736958403","1016","Customer 1016","22","Address 1016","8612.857297188","1/16/2022","2016","Merchant 2016","Location 2016","0","0","47.627374832923","20.735039147247"
"17","1/1/2022 16:00","Other","0.078616968886953","1017","Customer 1017","21","Address 1017","5179.0009650502","1/17/2022","2017","Merchant 2017","Location 2017","0","0","83.800434128775","44.545118851072"
"18","1/1/2022 17:00","Travel","0.53282029530432","1018","Customer 1018","28","Address 1018","2727.8305249245","1/18/2022","2018","Merchant 2018","Location 2018","0","0","67.01973545243","27.054936669998"
"19","1/1/2022 18:00","Food","0.25201228595242","1019","Customer 1019","37","Address 1019","3797.7345359807","1/19/2022","2019","Merchant 2019","Location 2019","0","1","79.679529211866","13.615519156393"
"20","1/1/2022 19:00","Travel","0.27915860793682","1020","Customer 1020","55","Address 1020","3552.8551470814","1/20/2022","2020","Merchant 2020","Location 2020","0","0","23.126323247622","20.802289635109"
"21","1/1/2022 20:00","Travel","0.67594071209912","1021","Customer 1021","48","Address 1021","8552.6728669575","1/21/2022","2021","Merchant 2021","Location 2021","0","0","60.705354354362","36.043605218519"
"22","1/1/2022 21:00","Online","0.12422847812352","1022","Customer 1022","55","Address 1022","4265.273573479","1/22/2022","2022","Merchant 2022","Location 2022","0","0","53.846706868459","99.100427398716"
"23","1/1/2022 22:00","Travel","0.19532638963576","1023","Customer 1023","34","Address 1023","9545.4748690763","1/23/2022","2023","Merchant 2023","Location 2023","0","0","15.579538194664","85.420178189322"
"24","1/1/2022 23:00","Retail","0.61728980167191","1024","Customer 1024","40","Address 1024","1795.3282266181","1/24/2022","2024","Merchant 2024","Location 2024","0","0","13.386777836539","84.053284586273"
"25","1/2/2022 0:00","Travel","0.24435303793109","1025","Customer 1025","18","Address 1025","4450.3900700631","1/25/2022","2025","Merchant 2025","Location 2025","0","0","98.464055801261","50.258612452466"
"26","1/2/2022 1:00","Other","0.4870702896864","1026","Customer 1026","58","Address 1026","8091.7367016229","1/26/2022","2026","Merchant 2026","Location 2026","0","0","95.19370554798","52.59392864877"
"27","1/2/2022 2:00","Other","0.42273599776109","1027","Customer 1027","46","Address 1027","9527.9471074793","1/27/2022","2027","Merchant 2027","Location 2027","0","0","77.509219654003","20.489320943432"
"28","1/2/2022 3:00","Online","0.83806438344907","1028","Customer 1028","29","Address 1028","2222.1414660761","1/28/2022","2028","Merchant 2028","Location 2028","0","0","51.771137704508","12.397442736592"
"29","1/2/2022 4:00","Other","0.46334057136767","1029","Customer 1029","37","Address 1029","8467.1226227436","1/29/2022","2029","Merchant 2029","Location 2029","0","0","73.080407682495","25.334803493142"
"30","1/2/2022 5:00","Retail","0.64660001029471","1030","Customer 1030","54","Address 1030","3767.5578884318","1/30/2022","2030","Merchant 2030","Location 2030","0","0","83.884218132839","70.075126978503"
"31","1/2/2022 6:00","Food","0.028645150404921","1031","Customer 1031","29","Address 1031","9499.5057920163","1/31/2022","2031","Merchant 2031","Location 2031","0","0","59.963804607469","92.619302977578"
"32","1/2/2022 7:00","Online","0.11395570667196","1032","Customer 1032","25","Address 1032","6532.621570289","2/1/2022","2032","Merchant 2032","Location 2032","0","0","64.825552891985","77.726944169272"
"33","1/2/2022 8:00","Other","0.79049198477956","1033","Customer 1033","50","Address 1033","2042.6923520565","2/2/2022","2033","Merchant 2033","Location 2033","0","0","16.316389222564","59.350990035737"
"34","1/2/2022 9:00","Retail","0.49614139708793","1034","Customer 1034","50","Address 1034","8385.4323780316","2/3/2022","2034","Merchant 2034","Location 2034","0","0","74.892333846283","61.347635952758"
"35","1/2/2022 10:00","Online","0.023424860393967","1035","Customer 1035","27","Address 1035","3495.2472951909","2/4/2022","2035","Merchant 2035","Location 2035","0","0","63.481083838129","60.474016327912"
"36","1/2/2022 11:00","Retail","0.1056184269218","1036","Customer 1036","37","Address 1036","9381.1452185433","2/5/2022","2036","Merchant 2036","Location 2036","0","0","55.074894470002","42.20773347953"
"37","1/2/2022 12:00","Food","0.11736136856689","1037","Customer 1037","61","Address 1037","9519.4771216803","2/6/2022","2037","Merchant 2037","Location 2037","0","0","15.8558897015","71.268567916637"
"38","1/2/2022 13:00","Retail","0.68257999611154","1038","Customer 1038","62","Address 1038","5402.9208502645","2/7/2022","2038","Merchant 2038","Location 2038","0","0","35.259558892941","46.214982406953"
